event_name,company_name,company_short_name,stand,country,city,address,rubrics,product_notes,brands,website,public_email,public_phone,source_url,exhibitor_id,evidence_snippet,parse_status,missing_fields,scraped_at,parser_version,source_sheet
Global Ingredients Show 2026,Zhejiang Zancheng Life Sciences,Zhejiang Zancheng Life Sciences,,Китай,,,пищевые ингредиенты; пищевые добавки,Named participant; verified public site describes food additives/preservatives.,,https://www.zanchenglife.com/,sales@zanchenglife.com,,https://expomap.ru/news/global-ingredients-show-2026-ingredienty-i-dobavki-dlya-produktov-pitaniya-kosmetiki-i-bad/,global-ingredients-2026-source-limited-011,"Expomap news article says 160+ companies and names participants: Очаковский комбинат пищевых ингредиентов, BioGrowing, Вкусарома, Экос, Аметис, Wecare-Probiotics, Bigtree Group, ГК ЕТС, Протек-СВМ, Ревада, Zhejiang Zancheng Life Sciences, Naturi Pharm, Vitajoy, Finutra and first-time participants including Мираторг-Желатин, Компонент-Лактис, Vitaglass, УльтраМол, Европейские технологии, Syren, Encapscifi Lifesciences.",parsed_source_limited_article_list,,2026-07-11T18:48:39.069201+00:00,global-ingredients-show-signo-source-limited-v1.0.0,Expomap news named participants
Global Ingredients Show 2026,Naturi Pharm,Naturi Pharm,,Россия,,,бады; контрактное производство,Named participant; verified public site describes contract manufacturing of BAA.,,https://naturipharm.ru/,info@naturipharm.ru,,https://expomap.ru/news/global-ingredients-show-2026-ingredienty-i-dobavki-dlya-produktov-pitaniya-kosmetiki-i-bad/,global-ingredients-2026-source-limited-012,"Expomap news article says 160+ companies and names participants: Очаковский комбинат пищевых ингредиентов, BioGrowing, Вкусарома, Экос, Аметис, Wecare-Probiotics, Bigtree Group, ГК ЕТС, Протек-СВМ, Ревада, Zhejiang Zancheng Life Sciences, Naturi Pharm, Vitajoy, Finutra and first-time participants including Мираторг-Желатин, Компонент-Лактис, Vitaglass, УльтраМол, Европейские технологии, Syren, Encapscifi Lifesciences.",parsed_source_limited_article_list,,2026-07-11T18:48:39.069201+00:00,global-ingredients-show-signo-source-limited-v1.0.0,Expomap news named participants
Global Ingredients Show 2026,Vitajoy,Vitajoy,,Китай,,,бады; пищевые ингредиенты,Named participant; verified public site redirects to Vitajoy group.,,,,,https://expomap.ru/news/global-ingredients-show-2026-ingredienty-i-dobavki-dlya-produktov-pitaniya-kosmetiki-i-bad/,global-ingredients-2026-source-limited-013,"Expomap news article says 160+ companies and names participants: Очаковский комбинат пищевых ингредиентов, BioGrowing, Вкусарома, Экос, Аметис, Wecare-Probiotics, Bigtree Group, ГК ЕТС, Протек-СВМ, Ревада, Zhejiang Zancheng Life Sciences, Naturi Pharm, Vitajoy, Finutra and first-time participants including Мираторг-Желатин, Компонент-Лактис, Vitaglass, УльтраМол, Европейские технологии, Syren, Encapscifi Lifesciences.",parsed_source_limited_article_list,website; public_email,2026-07-11T18:48:39.069201+00:00,global-ingredients-show-signo-source-limited-v1.0.0,Expomap news named participants
Global Ingredients Show 2026,Finutra,Finutra,,Китай,,,пищевые ингредиенты; бады,Named participant; verified public site describes functional ingredients.,,https://www.finutra.com/,info@finutra.com,,https://expomap.ru/news/global-ingredients-show-2026-ingredienty-i-dobavki-dlya-produktov-pitaniya-kosmetiki-i-bad/,global-ingredients-2026-source-limited-014,"Expomap news article says 160+ companies and names participants: Очаковский комбинат пищевых ингредиентов, BioGrowing, Вкусарома, Экос, Аметис, Wecare-Probiotics, Bigtree Group, ГК ЕТС, Протек-СВМ, Ревада, Zhejiang Zancheng Life Sciences, Naturi Pharm, Vitajoy, Finutra and first-time participants including Мираторг-Желатин, Компонент-Лактис, Vitaglass, УльтраМол, Европейские технологии, Syren, Encapscifi Lifesciences.",parsed_source_limited_article_list,,2026-07-11T18:48:39.069201+00:00,global-ingredients-show-signo-source-limited-v1.0.0,Expomap news named participants
Global Ingredients Show 2026,Мираторг-Желатин,Мираторг-Желатин,,Россия,,,пищевые ингредиенты,Named as first-time participant; product inferred from company name and source context.,,https://miratorg.ru:443/en/,purchase@agrohold.ru,,https://expomap.ru/news/global-ingredients-show-2026-ingredienty-i-dobavki-dlya-produktov-pitaniya-kosmetiki-i-bad/,global-ingredients-2026-source-limited-015,"Expomap news article says 160+ companies and names participants: Очаковский комбинат пищевых ингредиентов, BioGrowing, Вкусарома, Экос, Аметис, Wecare-Probiotics, Bigtree Group, ГК ЕТС, Протек-СВМ, Ревада, Zhejiang Zancheng Life Sciences, Naturi Pharm, Vitajoy, Finutra and first-time participants including Мираторг-Желатин, Компонент-Лактис, Vitaglass, УльтраМол, Европейские технологии, Syren, Encapscifi Lifesciences.",parsed_source_limited_article_list,,2026-07-11T18:48:39.069201+00:00,global-ingredients-show-signo-source-limited-v1.0.0,Expomap news named participants
Global Ingredients Show 2026,Компонент-Лактис,Компонент-Лактис,,Россия,,,пищевые ингредиенты,Named as first-time participant; exact website not confidently proven; lactis.ru tested as adjacent but not assigned as official without source proof.,,,,,https://expomap.ru/news/global-ingredients-show-2026-ingredienty-i-dobavki-dlya-produktov-pitaniya-kosmetiki-i-bad/,global-ingredients-2026-source-limited-016,"Expomap news article says 160+ companies and names participants: Очаковский комбинат пищевых ингредиентов, BioGrowing, Вкусарома, Экос, Аметис, Wecare-Probiotics, Bigtree Group, ГК ЕТС, Протек-СВМ, Ревада, Zhejiang Zancheng Life Sciences, Naturi Pharm, Vitajoy, Finutra and first-time participants including Мираторг-Желатин, Компонент-Лактис, Vitaglass, УльтраМол, Европейские технологии, Syren, Encapscifi Lifesciences.",parsed_source_limited_article_list,website; public_email,2026-07-11T18:48:39.069201+00:00,global-ingredients-show-signo-source-limited-v1.0.0,Expomap news named participants
Global Ingredients Show 2026,Vitaglass,Vitaglass,,Россия,,,упаковочные решения,"Named as first-time participant; verified public sites indicate glass packaging/tare, so excluded from New Signo by packaging-only rule.",,https://vitaglass.ru/,hello@vitaglass.ru,,https://expomap.ru/news/global-ingredients-show-2026-ingredienty-i-dobavki-dlya-produktov-pitaniya-kosmetiki-i-bad/,global-ingredients-2026-source-limited-017,"Expomap news article says 160+ companies and names participants: Очаковский комбинат пищевых ингредиентов, BioGrowing, Вкусарома, Экос, Аметис, Wecare-Probiotics, Bigtree Group, ГК ЕТС, Протек-СВМ, Ревада, Zhejiang Zancheng Life Sciences, Naturi Pharm, Vitajoy, Finutra and first-time participants including Мираторг-Желатин, Компонент-Лактис, Vitaglass, УльтраМол, Европейские технологии, Syren, Encapscifi Lifesciences.",parsed_source_limited_article_list,products,2026-07-11T18:48:39.069201+00:00,global-ingredients-show-signo-source-limited-v1.0.0,Expomap news named participants
Global Ingredients Show 2026,УльтраМол,УльтраМол,,Россия,,,оборудование,"Named as first-time participant; verified public site describes industrial milling equipment, so excluded as equipment-only.",,https://www.ultramol.ru/,info@ultramol.ru,,https://expomap.ru/news/global-ingredients-show-2026-ingredienty-i-dobavki-dlya-produktov-pitaniya-kosmetiki-i-bad/,global-ingredients-2026-source-limited-018,"Expomap news article says 160+ companies and names participants: Очаковский комбинат пищевых ингредиентов, BioGrowing, Вкусарома, Экос, Аметис, Wecare-Probiotics, Bigtree Group, ГК ЕТС, Протек-СВМ, Ревада, Zhejiang Zancheng Life Sciences, Naturi Pharm, Vitajoy, Finutra and first-time participants including Мираторг-Желатин, Компонент-Лактис, Vitaglass, УльтраМол, Европейские технологии, Syren, Encapscifi Lifesciences.",parsed_source_limited_article_list,products,2026-07-11T18:48:39.069201+00:00,global-ingredients-show-signo-source-limited-v1.0.0,Expomap news named participants
Global Ingredients Show 2026,Европейские технологии,Европейские Технологии,,Россия,,,технологии,"Named as first-time participant; no public product/category evidence found in the source-limited article, so excluded pending manual source.",,,,,https://expomap.ru/news/global-ingredients-show-2026-ingredienty-i-dobavki-dlya-produktov-pitaniya-kosmetiki-i-bad/,global-ingredients-2026-source-limited-019,"Expomap news article says 160+ companies and names participants: Очаковский комбинат пищевых ингредиентов, BioGrowing, Вкусарома, Экос, Аметис, Wecare-Probiotics, Bigtree Group, ГК ЕТС, Протек-СВМ, Ревада, Zhejiang Zancheng Life Sciences, Naturi Pharm, Vitajoy, Finutra and first-time participants including Мираторг-Желатин, Компонент-Лактис, Vitaglass, УльтраМол, Европейские технологии, Syren, Encapscifi Lifesciences.",parsed_source_limited_article_list,website; public_email; products,2026-07-11T18:48:39.069201+00:00,global-ingredients-show-signo-source-limited-v1.0.0,Expomap news named participants
Global Ingredients Show 2026,Syren,Syren,,,,,,Named as first-time participant; no confident public product/category or website evidence found in this run.,,,,,https://expomap.ru/news/global-ingredients-show-2026-ingredienty-i-dobavki-dlya-produktov-pitaniya-kosmetiki-i-bad/,global-ingredients-2026-source-limited-020,"Expomap news article says 160+ companies and names participants: Очаковский комбинат пищевых ингредиентов, BioGrowing, Вкусарома, Экос, Аметис, Wecare-Probiotics, Bigtree Group, ГК ЕТС, Протек-СВМ, Ревада, Zhejiang Zancheng Life Sciences, Naturi Pharm, Vitajoy, Finutra and first-time participants including Мираторг-Желатин, Компонент-Лактис, Vitaglass, УльтраМол, Европейские технологии, Syren, Encapscifi Lifesciences.",parsed_source_limited_article_list,website; public_email; products,2026-07-11T18:48:39.069201+00:00,global-ingredients-show-signo-source-limited-v1.0.0,Expomap news named participants
Global Ingredients Show 2026,Encapscifi Lifesciences,Encapscifi Lifesciences,,Индия,,,бады; пищевые ингредиенты,"Named as first-time participant; verified public site exists, product category inferred from company/source context.",,https://encapscifi.com/,info@encapscifi.com,,https://expomap.ru/news/global-ingredients-show-2026-ingredienty-i-dobavki-dlya-produktov-pitaniya-kosmetiki-i-bad/,global-ingredients-2026-source-limited-021,"Expomap news article says 160+ companies and names participants: Очаковский комбинат пищевых ингредиентов, BioGrowing, Вкусарома, Экос, Аметис, Wecare-Probiotics, Bigtree Group, ГК ЕТС, Протек-СВМ, Ревада, Zhejiang Zancheng Life Sciences, Naturi Pharm, Vitajoy, Finutra and first-time participants including Мираторг-Желатин, Компонент-Лактис, Vitaglass, УльтраМол, Европейские технологии, Syren, Encapscifi Lifesciences.",parsed_source_limited_article_list,,2026-07-11T18:48:39.069201+00:00,global-ingredients-show-signo-source-limited-v1.0.0,Expomap news named participants
