event_name,company_name,company_short_name,products,country,city,address,stand,pavilion,rubrics,product_notes,brands,website,public_email,public_phone,source_url,exhibitor_id,evidence_snippet,source_sheet,parse_status,missing_fields,scraped_at,parser_version,company_legal,company_inn,company_ogrn,company_okved,company_okved_description,director_name,director_role,revenue_mln,revenue_year,net_profit_mln,net_profit_year,requisites_source,requisites_confidence,requisites_comment,target,telegram_payload
ИнтерАвтоМеханика 2026,FEBEST,FEBEST,Запчасти и компоненты,Германия,,,8-360,Зал 8,Запчасти и компоненты,"FEBEST — международный бренд автозапчастей, основанный в Германии и специализирующийся на разработке инженерных решений для ремонта транспортных средств. Концепция бренда заключается в возможности замены отдельных компонентов вместо замены дорогостоящего узла в сборе, что позволяет существенно снизить затраты на ремонт без ущерба для надежности. Ассортимент FEBEST насчитывает более 20 000 артикулов в 74 товарных категориях. Вся продукция разрабатывается с учетом реальных условий эксплуатации транспорта, а производство ведется со строгим контролем качества на каждом этапе. FEBEST является одним из лидеров в сегменте резинометаллических изделий и ремонтных комплектов, предлагая широкий выбор качественных комплектующих и предоставляя гарантию 24 месяца или 60 000 км пробега.",,http://catalog.febest.club,,,https://interauto-mechanica-floorplans-2026.pages.dev/#154239-febest,154239-febest,"Запчасти и компоненты | FEBEST — международный бренд автозапчастей, основанный в Германии и специализирующийся на разработке инженерных решений для ремонта транспортных средств. Концепция бренда заключается в возможности замены отдельных компонентов вместо замены дорогостоящего узла в сборе, что позволяет существенно снизить затраты на ремонт без ущерба для надежности. Ассортимент FEBEST насчитывает более 20 000 артикулов в 74 товарных категориях. Вся продукция разрабатывается с учетом реальных условий эксплуатации транспорта, а производство ведется со строгим контролем качества на каждом этапе. FEBEST является одним из лидеров в сегменте резинометаллических изделий и ремонтных комплектов, предлагая широкий выбор качественных комплектующих и предоставляя гарантию 24 месяца или 60 000 км пробега.",interauto_floorplans_2026,ok,,2026-08-22T20:10:23Z,interavtomehanika-2026-signo-workbook-v1.0.1,,,,,,,,,,,,,,Иностранная компания (Германия); российское юрлицо не разыскивается.,нет,interautomechanica2026_deal_154239
ИнтерАвтоМеханика 2026,"FENGCHENG FUDA AUTO SENSORS CO.,LTD.","FENGCHENG FUDA AUTO SENSORS CO.,LTD.",Запчасти и компоненты; Аккумуляторы и электроника; Аксессуары и тюнинг,Китай,,,7-627,Зал 7,Запчасти и компоненты; Аккумуляторы и электроника; Аксессуары и тюнинг,,,http://www.fcfuda.com,,,https://interauto-mechanica-floorplans-2026.pages.dev/#154923-fengcheng-fuda-auto-sensors-co-ltd,154923-fengcheng-fuda-auto-sensors-co-ltd,Запчасти и компоненты; Аккумуляторы и электроника; Аксессуары и тюнинг,interauto_floorplans_2026,partial_missing_fields,product_notes,2026-08-22T20:10:23Z,interavtomehanika-2026-signo-workbook-v1.0.1,,,,,,,,,,,,,,Иностранная компания (Китай); российское юрлицо не разыскивается.,нет,interautomechanica2026_deal_154923
ИнтерАвтоМеханика 2026,"FENGCHENG SC TURBO MANUFACTURE CO.,LTD","FENGCHENG SC TURBO MANUFACTURE CO.,LTD",Запчасти и компоненты,Китай,,,7-630,Зал 7,Запчасти и компоненты,,,https://www.shanchuanturbo.com,,,https://interauto-mechanica-floorplans-2026.pages.dev/#154926-fengcheng-sc-turbo-manufacture-co-ltd,154926-fengcheng-sc-turbo-manufacture-co-ltd,Запчасти и компоненты,interauto_floorplans_2026,partial_missing_fields,product_notes,2026-08-22T20:10:23Z,interavtomehanika-2026-signo-workbook-v1.0.1,,,,,,,,,,,,,,Иностранная компания (Китай); российское юрлицо не разыскивается.,нет,interautomechanica2026_deal_154926
ИнтерАвтоМеханика 2026,FerTurino,FerTurino,"Смазочные материалы, технические жидкости и автохимия",ОАЭ,,,8-420,Зал 8,"Смазочные материалы, технические жидкости и автохимия",,,https://ferturino.com/,,,https://interauto-mechanica-floorplans-2026.pages.dev/#153828-gt-oil-service-too,153828-gt-oil-service-too,"Смазочные материалы, технические жидкости и автохимия",interauto_floorplans_2026,partial_missing_fields,product_notes,2026-08-22T20:10:23Z,interavtomehanika-2026-signo-workbook-v1.0.1,,,,,,,,,,,,,,Иностранная компания (ОАЭ); российское юрлицо не разыскивается.,нет,interautomechanica2026_deal_153828
ИнтерАвтоМеханика 2026,"FORGIERA (ZHEJIANG) AUTO PARTS CO.,LTD.","FORGIERA (ZHEJIANG) AUTO PARTS CO.,LTD.",Запчасти и компоненты,Китай,,,8-868,Зал 8,Запчасти и компоненты,,,http://www.anlunwheel.com,,,https://interauto-mechanica-floorplans-2026.pages.dev/#155073-forgiera-zhejiang-auto-parts-co-ltd,155073-forgiera-zhejiang-auto-parts-co-ltd,Запчасти и компоненты,interauto_floorplans_2026,partial_missing_fields,product_notes,2026-08-22T20:10:23Z,interavtomehanika-2026-signo-workbook-v1.0.1,,,,,,,,,,,,,,Иностранная компания (Китай); российское юрлицо не разыскивается.,нет,interautomechanica2026_deal_155073
ИнтерАвтоМеханика 2026,"FORTEK ELECTRONICS CO., LIMITED","FORTEK ELECTRONICS CO., LIMITED",Запчасти и компоненты,Китай,,,8-820,Зал 8,Запчасти и компоненты,Компания существует уже 20 лет и специализируется на автомобильном освещении.,,http://www.fortek.cc,,,https://interauto-mechanica-floorplans-2026.pages.dev/#155757-fortek-electronics-co-limited,155757-fortek-electronics-co-limited,Запчасти и компоненты | Компания существует уже 20 лет и специализируется на автомобильном освещении.,interauto_floorplans_2026,ok,,2026-08-22T20:10:23Z,interavtomehanika-2026-signo-workbook-v1.0.1,,,,,,,,,,,,,,Иностранная компания (Китай); российское юрлицо не разыскивается.,нет,interautomechanica2026_deal_155757
ИнтерАвтоМеханика 2026,"Foshan BRvision Technology Co., Ltd.","Foshan BRvision Technology Co., Ltd.",Аккумуляторы и электроника,Китай,,,8-828,Зал 8,Аккумуляторы и электроника,"""BRvision — профессиональный производитель из Китая с собственной производственной базой в Фошане. Опираясь на 18-летний опыт работы в отрасли, мы специализируемся на электронных системах безопасности исключительно для коммерческого транспорта и спецтехники. Мы разрабатываем и производим промышленные AI-камеры, автомобильные видеорегистраторы (MDVR), мониторы и системы предотвращения столкновений специально для грузовиков, вилочных погрузчиков и промышленных автопарков, обеспечивая максимальную безопасность и эффективность.""",,http://www.brvision.com,,,https://interauto-mechanica-floorplans-2026.pages.dev/#155535-foshan-brvision-technology-co-ltd,155535-foshan-brvision-technology-co-ltd,"Аккумуляторы и электроника | ""BRvision — профессиональный производитель из Китая с собственной производственной базой в Фошане. Опираясь на 18-летний опыт работы в отрасли, мы специализируемся на электронных системах безопасности исключительно для коммерческого транспорта и спецтехники. Мы разрабатываем и производим промышленные AI-камеры, автомобильные видеорегистраторы (MDVR), мониторы и системы предотвращения столкновений специально для грузовиков, вилочных погрузчиков и промышленных автопарков, обеспечивая максимальную безопасность и эффективность.""",interauto_floorplans_2026,ok,,2026-08-22T20:10:23Z,interavtomehanika-2026-signo-workbook-v1.0.1,,,,,,,,,,,,,,Иностранная компания (Китай); российское юрлицо не разыскивается.,нет,interautomechanica2026_deal_155535
ИнтерАвтоМеханика 2026,"FOSHAN CITY SENTUO AUTO ACCESSORIES CO.,LTD","FOSHAN CITY SENTUO AUTO ACCESSORIES CO.,LTD",Запчасти и компоненты; Аксессуары и тюнинг,Китай,,,7-562,Зал 7,Запчасти и компоненты; Аксессуары и тюнинг,"Компания Foshan City Sentuo Auto Accessories Co., Ltd. — высокотехнологичное предприятие, основанное в 2011 году. Система качества компании прошла сертификацию IATF16949. Мы специализируемся на исследованиях, разработке, производстве и продаже высококачественных интеллектуальных электрических боковых подножек, стационарных подножек и боковых подножек-трансформеров для внедорожников, минивэнов и пикапов. Мы имеем многолетний опыт сотрудничества со многими отечественными и зарубежными сетями автосалонов и автопроизводителями.",,http://www.gdsway.com,,,https://interauto-mechanica-floorplans-2026.pages.dev/#155541-foshan-city-sentuo-auto-accessories-co-ltd,155541-foshan-city-sentuo-auto-accessories-co-ltd,"Запчасти и компоненты; Аксессуары и тюнинг | Компания Foshan City Sentuo Auto Accessories Co., Ltd. — высокотехнологичное предприятие, основанное в 2011 году. Система качества компании прошла сертификацию IATF16949. Мы специализируемся на исследованиях, разработке, производстве и продаже высококачественных интеллектуальных электрических боковых подножек, стационарных подножек и боковых подножек-трансформеров для внедорожников, минивэнов и пикапов. Мы имеем многолетний опыт сотрудничества со многими отечественными и зарубежными сетями автосалонов и автопроизводителями.",interauto_floorplans_2026,ok,,2026-08-22T20:10:23Z,interavtomehanika-2026-signo-workbook-v1.0.1,,,,,,,,,,,,,,Иностранная компания (Китай); российское юрлицо не разыскивается.,нет,interautomechanica2026_deal_155541
ИнтерАвтоМеханика 2026,"Foshan Furui Lighting Co., Ltd.","Foshan Furui Lighting Co., Ltd.","Запчасти и компоненты; Шины и диски; Смазочные материалы, технические жидкости и автохимия",Китай,,,7-480,Зал 7,"Запчасти и компоненты; Шины и диски; Смазочные материалы, технические жидкости и автохимия","Компания Dongguan Furui Lighting Co., Ltd. расположена в городе Дунгуань, провинция Гуандун. Это перерабатывающее предприятие, объединяющее дизайн, исследования, разработки, производство и продажи.Основное производство автомобильных светодиодных противотуманных фар, автомобильных светодиодных рабочих фонарей, автомобильных светодиодных фар.Продукция экспортируется в Центральную Азию, Россию и другие страны.Придерживаясь принципа “качество превыше всего”, компания строго контролирует качество продукции для достижения удовлетворенности клиентов, и потребители могут быть уверены.",,,,,https://interauto-mechanica-floorplans-2026.pages.dev/#154665-foshan-furui-lighting-co-ltd,154665-foshan-furui-lighting-co-ltd,"Запчасти и компоненты; Шины и диски; Смазочные материалы, технические жидкости и автохимия | Компания Dongguan Furui Lighting Co., Ltd. расположена в городе Дунгуань, провинция Гуандун. Это перерабатывающее предприятие, объединяющее дизайн, исследования, разработки, производство и продажи.Основное производство автомобильных светодиодных противотуманных фар, автомобильных светодиодных рабочих фонарей, автомобильных светодиодных фар.Продукция экспортируется в Центральную Азию, Россию и другие страны.Придерживаясь принципа “качество превыше всего”, компания строго контролирует качество продукции для достижения удовлетворенности клиентов, и потребители могут быть уверены.",interauto_floorplans_2026,ok,,2026-08-22T20:10:23Z,interavtomehanika-2026-signo-workbook-v1.0.1,,,,,,,,,,,,,,Иностранная компания (Китай); российское юрлицо не разыскивается.,нет,interautomechanica2026_deal_154665
ИнтерАвтоМеханика 2026,Foshan Haila Electrical Co.Ltd,Foshan Haila Electrical Co.Ltd,Запчасти и компоненты,Китай,,,7-563,Зал 7,Запчасти и компоненты,,,http://gd.huaxingjc.com/,,,https://interauto-mechanica-floorplans-2026.pages.dev/#155412-foshan-haila-electrical-co-ltd,155412-foshan-haila-electrical-co-ltd,Запчасти и компоненты,interauto_floorplans_2026,partial_missing_fields,product_notes,2026-08-22T20:10:23Z,interavtomehanika-2026-signo-workbook-v1.0.1,,,,,,,,,,,,,,Иностранная компания (Китай); российское юрлицо не разыскивается.,нет,interautomechanica2026_deal_155412
ИнтерАвтоМеханика 2026,FOSHAN KD LIGHTING,FOSHAN KD LIGHTING,Аксессуары и тюнинг,Китай,,,8-811,Зал 8,Аксессуары и тюнинг,,,http://www.krdled.com,,,https://interauto-mechanica-floorplans-2026.pages.dev/#156738-foshan-kd-lighting,156738-foshan-kd-lighting,Аксессуары и тюнинг,interauto_floorplans_2026,partial_missing_fields,product_notes,2026-08-22T20:10:23Z,interavtomehanika-2026-signo-workbook-v1.0.1,,,,,,,,,,,,,,Иностранная компания (Китай); российское юрлицо не разыскивается.,нет,interautomechanica2026_deal_156738
ИнтерАвтоМеханика 2026,"Foshan Qili Technology Co., Ltd.","Foshan Qili Technology Co., Ltd.","Оборудование для диагностики, ремонта и восстановления",Китай,,,7-642,Зал 7,"Оборудование для диагностики, ремонта и восстановления",,,http://www.qilitool.com,,,https://interauto-mechanica-floorplans-2026.pages.dev/#155397-foshan-qili-technology-co-ltd,155397-foshan-qili-technology-co-ltd,"Оборудование для диагностики, ремонта и восстановления",interauto_floorplans_2026,partial_missing_fields,product_notes,2026-08-22T20:10:23Z,interavtomehanika-2026-signo-workbook-v1.0.1,,,,,,,,,,,,,,Иностранная компания (Китай); российское юрлицо не разыскивается.,нет,interautomechanica2026_deal_155397
ИнтерАвтоМеханика 2026,"Foshan Sharmeal Technology Co., Ltd","Foshan Sharmeal Technology Co., Ltd",Запчасти и компоненты; Аккумуляторы и электроника,Китай,,,7-640,Зал 7,Запчасти и компоненты; Аккумуляторы и электроника,,,https://sharmeal.com/,,,https://interauto-mechanica-floorplans-2026.pages.dev/#155385-foshan-sharmeal-technology-co-ltd,155385-foshan-sharmeal-technology-co-ltd,Запчасти и компоненты; Аккумуляторы и электроника,interauto_floorplans_2026,partial_missing_fields,product_notes,2026-08-22T20:10:23Z,interavtomehanika-2026-signo-workbook-v1.0.1,,,,,,,,,,,,,,Иностранная компания (Китай); российское юрлицо не разыскивается.,нет,interautomechanica2026_deal_155385
ИнтерАвтоМеханика 2026,"FOSHAN SHUNDE HONGGU AUTO PARTS MANUFACTURING CO.,LTD","FOSHAN SHUNDE HONGGU AUTO PARTS MANUFACTURING CO.,LTD",Запчасти и компоненты,Китай,,,8-830,Зал 8,Запчасти и компоненты,"Хунгу была основана в 2010 году, фабрика расположена в районе Шуньдэ города Фошань. Наша компания специализируется на разработке аир-спрингов, аир-амортизаторов, компрессоров пневматической подвески и клапанных блоков для послепродажного рынка роскошных автомобилей, включая Mercedes-Benz, BMW, Audi, Land Rover, Porsche, VW, Hyundai, Porsche, Tesla, Rolls-Royce, Jeep, Jaguar и другие. Высокое качество и конкурентоспособные цены помогли нам завоевать хорошую репутацию у клиентов.",,http://www.airsuspensionstruts.com,,,https://interauto-mechanica-floorplans-2026.pages.dev/#156771-foshan-shunde-honggu-auto-parts-manufacturing-co-ltd,156771-foshan-shunde-honggu-auto-parts-manufacturing-co-ltd,"Запчасти и компоненты | Хунгу была основана в 2010 году, фабрика расположена в районе Шуньдэ города Фошань. Наша компания специализируется на разработке аир-спрингов, аир-амортизаторов, компрессоров пневматической подвески и клапанных блоков для послепродажного рынка роскошных автомобилей, включая Mercedes-Benz, BMW, Audi, Land Rover, Porsche, VW, Hyundai, Porsche, Tesla, Rolls-Royce, Jeep, Jaguar и другие. Высокое качество и конкурентоспособные цены помогли нам завоевать хорошую репутацию у клиентов.",interauto_floorplans_2026,ok,,2026-08-22T20:10:23Z,interavtomehanika-2026-signo-workbook-v1.0.1,,,,,,,,,,,,,,Иностранная компания (Китай); российское юрлицо не разыскивается.,нет,interautomechanica2026_deal_156771
ИнтерАвтоМеханика 2026,"Foshan Smartsun Auto Lighting Technology Co., Limited","Foshan Smartsun Auto Lighting Technology Co., Limited",Запчасти и компоненты,Китай,,,8-833,Зал 8,Запчасти и компоненты,,,http://www.smartsunlamp.com,,,https://interauto-mechanica-floorplans-2026.pages.dev/#159324-foshan-smartsun-auto-lighting-technology-co-limited,159324-foshan-smartsun-auto-lighting-technology-co-limited,Запчасти и компоненты,interauto_floorplans_2026,partial_missing_fields,product_notes,2026-08-22T20:10:23Z,interavtomehanika-2026-signo-workbook-v1.0.1,,,,,,,,,,,,,,Иностранная компания (Китай); российское юрлицо не разыскивается.,нет,interautomechanica2026_deal_159324
ИнтерАвтоМеханика 2026,"Foshan Zhiguangno Technology Co., Ltd.","Foshan Zhiguangno Technology Co., Ltd.",Запчасти и компоненты,Китай,,,8-805,Зал 8,Запчасти и компоненты,,,http://zhiguangno.com,,,https://interauto-mechanica-floorplans-2026.pages.dev/#155646-foshan-zhiguangno-technology-co-ltd,155646-foshan-zhiguangno-technology-co-ltd,Запчасти и компоненты,interauto_floorplans_2026,partial_missing_fields,product_notes,2026-08-22T20:10:23Z,interavtomehanika-2026-signo-workbook-v1.0.1,,,,,,,,,,,,,,Иностранная компания (Китай); российское юрлицо не разыскивается.,нет,interautomechanica2026_deal_155646
ИнтерАвтоМеханика 2026,"FUXIN JINSHI INDUSTRY CO.,LTD.","FUXIN JINSHI INDUSTRY CO.,LTD.",Запчасти и компоненты,Китай,,,7-625,Зал 7,Запчасти и компоненты,"Fuxin Jinshi Industries Co., Ltd. находится в провинции Ляонин Китая, основной вид деятельности компании — это разработка, производство и реализация автомобильных тормозный дисков, тормозных барабанов, тормозных накладок и других автомобильных тормозных деталей. Компания занимает площадь более 30000㎡, располагает профессиональным литейным цехом, цехом механической обработки, цехом контроля качества и упаковочным цехом. В штате компании работают более 200 рабочих, среди них технические специалисты более 20 людей. Компания располагает полной производственной системой и производственной линией и обладает большими преимуществами в разработке технологий, управлении качеством и признании клиентов.",,,,,https://interauto-mechanica-floorplans-2026.pages.dev/#158412-fuxin-jinshi-industry-co-ltd,158412-fuxin-jinshi-industry-co-ltd,"Запчасти и компоненты | Fuxin Jinshi Industries Co., Ltd. находится в провинции Ляонин Китая, основной вид деятельности компании — это разработка, производство и реализация автомобильных тормозный дисков, тормозных барабанов, тормозных накладок и других автомобильных тормозных деталей. Компания занимает площадь более 30000㎡, располагает профессиональным литейным цехом, цехом механической обработки, цехом контроля качества и упаковочным цехом. В штате компании работают более 200 рабочих, среди них технические специалисты более 20 людей. Компания располагает полной производственной системой и производственной линией и обладает большими преимуществами в разработке технологий, управлении качеством и признании клиентов.",interauto_floorplans_2026,ok,,2026-08-22T20:10:23Z,interavtomehanika-2026-signo-workbook-v1.0.1,,,,,,,,,,,,,,Иностранная компания (Китай); российское юрлицо не разыскивается.,нет,interautomechanica2026_deal_158412
ИнтерАвтоМеханика 2026,"GALAXY INDUSTRIAL CO., LTD.","GALAXY INDUSTRIAL CO., LTD.",Кузовной ремонт и лакокрасочные материалы,Китай,,,7-554,Зал 7,Кузовной ремонт и лакокрасочные материалы,"Компания GALAXY INDUSTRIAL CO.,LTD. имеет 20-летний опыт производства автомобильных клейких лент, является OEM-производителем для более чем 100 глобальных брендов. Основная продукция: 1. Двухсторонние VHB & поролоновые ленты 2. Малярные ленты/пленки/бумага 3. Электроизоляционные ПВХ & тканевые ленты для жгутов проводов 4. Тряпки для сбора краски 5. Малярные бумажные фильтры.",,http://www.grandwaytape.com,,,https://interauto-mechanica-floorplans-2026.pages.dev/#155214-galaxy-industrial-co-ltd,155214-galaxy-industrial-co-ltd,"Кузовной ремонт и лакокрасочные материалы | Компания GALAXY INDUSTRIAL CO.,LTD. имеет 20-летний опыт производства автомобильных клейких лент, является OEM-производителем для более чем 100 глобальных брендов. Основная продукция: 1. Двухсторонние VHB & поролоновые ленты 2. Малярные ленты/пленки/бумага 3. Электроизоляционные ПВХ & тканевые ленты для жгутов проводов 4. Тряпки для сбора краски 5. Малярные бумажные фильтры.",interauto_floorplans_2026,ok,,2026-08-22T20:10:23Z,interavtomehanika-2026-signo-workbook-v1.0.1,,,,,,,,,,,,,,Иностранная компания (Китай); российское юрлицо не разыскивается.,нет,interautomechanica2026_deal_155214
ИнтерАвтоМеханика 2026,Ganz,Ganz,Запчасти и компоненты; Аккумуляторы и электроника,Россия,,,8-465,Зал 8,Запчасти и компоненты; Аккумуляторы и электроника,"GANZ — динамичный бренд автозапчастей: от аккумуляторов и тормозных систем до электроники и подвески. Прямые контракты с заводами, строгий контроль качества и адаптация к российским условиям обеспечивают надёжность в любой ситуации.",,,,,https://interauto-mechanica-floorplans-2026.pages.dev/#154230-ganz-arnezzi,154230-ganz-arnezzi,"Запчасти и компоненты; Аккумуляторы и электроника | GANZ — динамичный бренд автозапчастей: от аккумуляторов и тормозных систем до электроники и подвески. Прямые контракты с заводами, строгий контроль качества и адаптация к российским условиям обеспечивают надёжность в любой ситуации.",interauto_floorplans_2026,ok,,2026-08-22T20:10:23Z,interavtomehanika-2026-signo-workbook-v1.0.1,,,,,,,,,,,,,,Надежное российское юрлицо не найдено.,нет,interautomechanica2026_deal_154230
ИнтерАвтоМеханика 2026,"GSP AUTOMOTIVE GROUP WENZHOU CO., LTD","GSP AUTOMOTIVE GROUP WENZHOU CO., LTD",Запчасти и компоненты,Китай,,,8-215,Зал 8,Запчасти и компоненты,"Группа компаний GSP Automotive Group является ведущим производителем автомобильных запчастей для мирового рынка запчастей. С 1985 года GSP олицетворяет собой высококачественные автомобильные запчасти, технологические инновации и глобальную надежность на вторичном рынке. Имея более 2 000 специалистов и клиентов в более чем 120 странах, мы поставляем карданные валы, карданные передачи, шарниры постоянных скоростей, комплекты ступиц и подшипников, резинометаллические детали, рулевые механизмы, детали рулевого управления и подвески, а также амортизаторы — быстро, надежно и безопасно.",,https://www.gsp-europe.com,,,https://interauto-mechanica-floorplans-2026.pages.dev/#154017-spl-servis-parts-logistik,154017-spl-servis-parts-logistik,"Запчасти и компоненты | Группа компаний GSP Automotive Group является ведущим производителем автомобильных запчастей для мирового рынка запчастей. С 1985 года GSP олицетворяет собой высококачественные автомобильные запчасти, технологические инновации и глобальную надежность на вторичном рынке. Имея более 2 000 специалистов и клиентов в более чем 120 странах, мы поставляем карданные валы, карданные передачи, шарниры постоянных скоростей, комплекты ступиц и подшипников, резинометаллические детали, рулевые механизмы, детали рулевого управления и подвески, а также амортизаторы — быстро, надежно и безопасно.",interauto_floorplans_2026,ok,,2026-08-22T20:10:23Z,interavtomehanika-2026-signo-workbook-v1.0.1,,,,,,,,,,,,,,Иностранная компания (Китай); российское юрлицо не разыскивается.,нет,interautomechanica2026_deal_154017
ИнтерАвтоМеханика 2026,"Guangdong Baiwang Industrial Co.,Ltd","Guangdong Baiwang Industrial Co.,Ltd",Запчасти и компоненты,Китай,,,7-560,Зал 7,Запчасти и компоненты,"""Наша компания основана в 2010 году, специализируется на автомобильных щетках стеклоочистителя и резиновых изделиях. Руководствуясь принципом «ориентация на клиента, взаимовыгодное сотрудничество», мы быстро развились и построили прочные партнерские отношения с известными предприятиями по всему миру. Мы внедрили систему качества ISO9001, сотрудничаем с Южно-Китайским технологическим университетом, владеем более 30 национальными патентами. Щетки стеклоочистителя — неотъемлемая часть безопасного вождения. Мы продолжаем развивать инновации, чтобы предлагать клиентам качественную и надежную продукцию""",,http://www.baiwang-wiperblades.com/,,,https://interauto-mechanica-floorplans-2026.pages.dev/#155391-guangdong-baiwang-industrial-co-ltd,155391-guangdong-baiwang-industrial-co-ltd,"Запчасти и компоненты | ""Наша компания основана в 2010 году, специализируется на автомобильных щетках стеклоочистителя и резиновых изделиях. Руководствуясь принципом «ориентация на клиента, взаимовыгодное сотрудничество», мы быстро развились и построили прочные партнерские отношения с известными предприятиями по всему миру. Мы внедрили систему качества ISO9001, сотрудничаем с Южно-Китайским технологическим университетом, владеем более 30 национальными патентами. Щетки стеклоочистителя — неотъемлемая часть безопасного вождения. Мы продолжаем развивать инновации, чтобы предлагать клиентам качественную и надежную продукцию""",interauto_floorplans_2026,ok,,2026-08-22T20:10:23Z,interavtomehanika-2026-signo-workbook-v1.0.1,,,,,,,,,,,,,,Иностранная компания (Китай); российское юрлицо не разыскивается.,нет,interautomechanica2026_deal_155391
ИнтерАвтоМеханика 2026,"GUANGDONG CHENYUE TRADING CO., LTD","GUANGDONG CHENYUE TRADING CO., LTD",Запчасти и компоненты,Китай,,,"7-555, 7-557",Зал 7,Запчасти и компоненты,"Мы являемся профессиональным предприятием, специализирующимся на исследованиях, разработке, производстве и продаже автозапчастей. Компания имеет хорошо отлаженную систему управления качеством и стремится предоставлять высококачественные и надежные решения в области автозапчастей для клиентов по всему миру.",,,,,https://interauto-mechanica-floorplans-2026.pages.dev/#155211-guangdong-chenyue-trading-co-ltd,155211-guangdong-chenyue-trading-co-ltd,"Запчасти и компоненты | Мы являемся профессиональным предприятием, специализирующимся на исследованиях, разработке, производстве и продаже автозапчастей. Компания имеет хорошо отлаженную систему управления качеством и стремится предоставлять высококачественные и надежные решения в области автозапчастей для клиентов по всему миру.",interauto_floorplans_2026,ok,,2026-08-22T20:10:23Z,interavtomehanika-2026-signo-workbook-v1.0.1,,,,,,,,,,,,,,Иностранная компания (Китай); российское юрлицо не разыскивается.,нет,interautomechanica2026_deal_155211
ИнтерАвтоМеханика 2026,"GUANGDONG JUWEI METAL CAN CO.,LTD","GUANGDONG JUWEI METAL CAN CO.,LTD","Смазочные материалы, технические жидкости и автохимия; Кузовной ремонт и лакокрасочные материалы",Китай,,,7-745,Зал 7,"Смазочные материалы, технические жидкости и автохимия; Кузовной ремонт и лакокрасочные материалы",,,http://www.jwtincan.com,,,https://interauto-mechanica-floorplans-2026.pages.dev/#156765-guangdong-juwei-metal-can-co-ltd,156765-guangdong-juwei-metal-can-co-ltd,"Смазочные материалы, технические жидкости и автохимия; Кузовной ремонт и лакокрасочные материалы",interauto_floorplans_2026,partial_missing_fields,product_notes,2026-08-22T20:10:23Z,interavtomehanika-2026-signo-workbook-v1.0.1,,,,,,,,,,,,,,Иностранная компания (Китай); российское юрлицо не разыскивается.,нет,interautomechanica2026_deal_156765
ИнтерАвтоМеханика 2026,"Guangdong Longdon New Materials Co., Ltd.","Guangdong Longdon New Materials Co., Ltd.",Запчасти и компоненты,Китай,,,8-839,Зал 8,Запчасти и компоненты,,,http://www.longdonfilm.com,,,https://interauto-mechanica-floorplans-2026.pages.dev/#159135-guangdong-longdon-new-materials-co-ltd,159135-guangdong-longdon-new-materials-co-ltd,Запчасти и компоненты,interauto_floorplans_2026,partial_missing_fields,product_notes,2026-08-22T20:10:23Z,interavtomehanika-2026-signo-workbook-v1.0.1,,,,,,,,,,,,,,Иностранная компания (Китай); российское юрлицо не разыскивается.,нет,interautomechanica2026_deal_159135
ИнтерАвтоМеханика 2026,GUANGDONG TOME AD MEDIA LTD.,GUANGDONG TOME AD MEDIA LTD.,Кузовной ремонт и лакокрасочные материалы; Аксессуары и тюнинг,Китай,,,7-623,Зал 7,Кузовной ремонт и лакокрасочные материалы; Аксессуары и тюнинг,"""VSTONE — профессиональный производитель, специализирующийся на защитных полиуретановых плёнках (PPF) и высококачественных автомобильных плёнках. Благодаря современным технологиям нанесения покрытий и чистым помещениям класса 1000 мы гарантируем стабильное качество продукции и надёжные производственные возможности. Ассортимент VSTONE включает защитные полиуретановые плёнки (PPF), плёнки для оклейки автомобилей, тонировочные плёнки, защитные плёнки для фар, плёнки с эффектом карбона и полимерные плёнки для цифровой печати. Мы также предлагаем гибкие OEM- и ODM-решения для партнёров по всему миру.""",,http://www.vstoneppf.com,,,https://interauto-mechanica-floorplans-2026.pages.dev/#160116-guangdong-tome-ad-media-ltd,160116-guangdong-tome-ad-media-ltd,"Кузовной ремонт и лакокрасочные материалы; Аксессуары и тюнинг | ""VSTONE — профессиональный производитель, специализирующийся на защитных полиуретановых плёнках (PPF) и высококачественных автомобильных плёнках. Благодаря современным технологиям нанесения покрытий и чистым помещениям класса 1000 мы гарантируем стабильное качество продукции и надёжные производственные возможности. Ассортимент VSTONE включает защитные полиуретановые плёнки (PPF), плёнки для оклейки автомобилей, тонировочные плёнки, защитные плёнки для фар, плёнки с эффектом карбона и полимерные плёнки для цифровой печати. Мы также предлагаем гибкие OEM- и ODM-решения для партнёров по всему миру.""",interauto_floorplans_2026,ok,,2026-08-22T20:10:23Z,interavtomehanika-2026-signo-workbook-v1.0.1,,,,,,,,,,,,,,Иностранная компания (Китай); российское юрлицо не разыскивается.,нет,interautomechanica2026_deal_160116
