event_name,company_name,country,city,address,stand,pavilion,rubrics,product_notes,website,public_email,public_phone,source_url,exhibitor_id,evidence_snippet,signo_relevance,signo_relevance_action,signo_relevance_reason,signo_relevance_positive_terms,signo_relevance_negative_terms,parse_status,missing_fields,scraped_at,parser_version
ИНТЕРЛАКОКРАСКА-2026,CAMELOT CHEMIE,Россия,Москва,"Россия, 123022, г. Москва, ул. 2-я Звенигородская, д. 13, стр. 41, этаж 8, комн. 810",2B055,ВАВИЛОВ,Сырье и вспомогательные материалы для производства лакокрасочных материалов и покрытий; Сырье и вспомогательные материалы для производства адгезивов,"CAMELOT CHEMIE — импортер карбонатных наполнителей, TiO2, полимерных дисперсий и добавок для производства ЛКМ и изделий из пластика.",http://www.camelot-chemie.ru,info@camelot-chemie.ru,+7 (495) 749-0097,https://icatalog.expocentr.ru/ru/exhibitions/190a3ab6-1050-11f0-80ce-a0d3c1fab97f/exhibitors/378253?&stand=2B055,378253,"CAMELOT CHEMIE — импортер карбонатных наполнителей, TiO2, полимерных дисперсий и добавок для производства ЛКМ и изделий из пластика. | Сырье и вспомогательные материалы для производства лакокрасочных материалов и покрытий; Сырье и вспомогательные материалы для производства адгезивов",maybe,review,mixed: product terms present but raw_material supplier evidence needs QA review,лакокрасочных материалов; покрытий; адгезив,raw_material; сырье; вспомогательные материалы; наполнител,ok,,2026-07-14T19:28:58Z,expocentr-icatalog-v1.1.0
ИНТЕРЛАКОКРАСКА-2026,CCPIT SUB-COUNCIL ОF CHEMICAL INDUSTRY,Китай,,Китай,2A095,ВАВИЛОВ,,,,,,https://icatalog.expocentr.ru/ru/exhibitions/190a3ab6-1050-11f0-80ce-a0d3c1fab97f/exhibitors/380782?&stand=2A095,380782,,maybe,review,insufficient_public_evidence: manual review,,,partial_missing_fields,evidence_snippet,2026-07-14T19:28:58Z,expocentr-icatalog-v1.1.0
ИНТЕРЛАКОКРАСКА-2026,CELOTECH RUICO,Китай,,Китай,2A010,ВАВИЛОВ,Сырье и вспомогательные материалы для производства лакокрасочных материалов и покрытий; Сырье и вспомогательные материалы для производства адгезивов,"Celotech Ruico — это совместное предприятие компаний Celotech Chemical и Zhejiang Ruico New Material. Как профессиональный поставщик лакокрасочных материалов, компания производит диспергирующие агенты, пеногасители, смачивающие агенты и другие компоненты.",http://www.celotechruico.com,ce@celotech.com,+86 572 2903236,https://icatalog.expocentr.ru/ru/exhibitions/190a3ab6-1050-11f0-80ce-a0d3c1fab97f/exhibitors/378801?&stand=2A010,378801,"Celotech Ruico — это совместное предприятие компаний Celotech Chemical и Zhejiang Ruico New Material. Как профессиональный поставщик лакокрасочных материалов, компания производит диспергирующие агенты, пеногасители, смачивающие агенты и другие компоненты. | Сырье и вспомогательные материалы для производства лакокрасочных материалов и покрытий; Сырье и вспомогательные материалы для производства адгезивов",maybe,review,mixed: product terms present but raw_material supplier evidence needs QA review,лакокрасочных материалов; покрытий; адгезив,raw_material; сырье; вспомогательные материалы; пеногасител,ok,,2026-07-14T19:28:58Z,expocentr-icatalog-v1.1.0
ИНТЕРЛАКОКРАСКА-2026,CHANGSHA GUANGXIN NEW MATERIALS SCIENCE & TECHNOLOGY CO. LTD,Китай,,Китай,2C148,ВАВИЛОВ,Сырье и вспомогательные материалы для производства лакокрасочных материалов и покрытий; Сырье и вспомогательные материалы для производства адгезивов,"Мы занимаемся разработкой, производством и продажей УФ-отверждаемой смолы со специальными свойствами.",,1225404193@qq.com,+86 15116499120,https://icatalog.expocentr.ru/ru/exhibitions/190a3ab6-1050-11f0-80ce-a0d3c1fab97f/exhibitors/378293?&stand=2C148,378293,"Мы занимаемся разработкой, производством и продажей УФ-отверждаемой смолы со специальными свойствами. | Сырье и вспомогательные материалы для производства лакокрасочных материалов и покрытий; Сырье и вспомогательные материалы для производства адгезивов",maybe,review,mixed: product terms present but raw_material supplier evidence needs QA review,лакокрасочных материалов; покрытий; адгезив,raw_material; сырье; вспомогательные материалы; смол,ok,,2026-07-14T19:28:58Z,expocentr-icatalog-v1.1.0
ИНТЕРЛАКОКРАСКА-2026,CHANGXING HUARUI MECHANICAL EQUIPMENT CO. LTD,Китай,,Китай,2A090,ВАВИЛОВ,"Оборудование для подготовки поверхности; Монтаж, эксплуатация и сервисное обслуживание","Компания Changxing Huarui Mechanical Equipment Co. Основана в 2007 году, расположена в промышленной зоне Хунцяо, городе Хучжоу, провинции Чжэцзян. Компания прошла сертификацию на соответствие стандартам качества ISO 9001, охраны окружающей среды ISO 14001, охраны труда.",http://www.cxhuarui.com,hr003@cxhuarui.com,+86 15726814883,https://icatalog.expocentr.ru/ru/exhibitions/190a3ab6-1050-11f0-80ce-a0d3c1fab97f/exhibitors/378795?&stand=2A090,378795,"Компания Changxing Huarui Mechanical Equipment Co. Основана в 2007 году, расположена в промышленной зоне Хунцяо, городе Хучжоу, провинции Чжэцзян. Компания прошла сертификацию на соответствие стандартам качества ISO 9001, охраны окружающей среды ISO 14001, охраны труда. | Оборудование для подготовки поверхности; Монтаж, эксплуатация и сервисное обслуживание",no,exclude,equipment_service: poor fit pure equipment/logistics/service supplier,,equipment_service; оборудование; монтаж; эксплуатация; сервисное обслуживание,ok,,2026-07-14T19:28:58Z,expocentr-icatalog-v1.1.0
ИНТЕРЛАКОКРАСКА-2026,CHEM WATERBORNE ADDITIVE CO. LTD,Китай,,Китай,4F150,ЧАЯНОВ,Сырье и вспомогательные материалы для производства лакокрасочных материалов и покрытий; Сырье и вспомогательные материалы для производства адгезивов,"Производитель функциональных добавок для производства автомобильных, промышленных, декоративных покрытий на водной основе, печатных красок, клев, герметиков, искусственной кожи, СОЖ.",http://www.additive-chem.com,k.kachuro@sint.moscow,+86 512 50176956,https://icatalog.expocentr.ru/ru/exhibitions/190a3ab6-1050-11f0-80ce-a0d3c1fab97f/exhibitors/379212?&stand=4F150,379212,"Производитель функциональных добавок для производства автомобильных, промышленных, декоративных покрытий на водной основе, печатных красок, клев, герметиков, искусственной кожи, СОЖ. | Сырье и вспомогательные материалы для производства лакокрасочных материалов и покрытий; Сырье и вспомогательные материалы для производства адгезивов",maybe,review,mixed: product terms present but raw_material supplier evidence needs QA review,лакокрасочных материалов; покрытий; печатных красок; адгезив; герметик,raw_material; сырье; вспомогательные материалы,ok,,2026-07-14T19:28:58Z,expocentr-icatalog-v1.1.0
ИНТЕРЛАКОКРАСКА-2026,CHEMIX SPECIALTY CHEMICAL CO. LTD,Китай,,Китай,4F074,ЧАЯНОВ,Сырье и вспомогательные материалы для производства лакокрасочных материалов и покрытий; Сырье и вспомогательные материалы для производства адгезивов,"Мы поставляем добавки для строительных растворов и красок, в том числе эфир целлюлозы, редиспергируемые эмульсионные порошки, суперпластификаторы, эфир крахмала, волокно, пеногасители и т. д.",http://www.chemixsc.com,info@chemixsc.com,+86 2157760209,https://icatalog.expocentr.ru/ru/exhibitions/190a3ab6-1050-11f0-80ce-a0d3c1fab97f/exhibitors/378555?&stand=4F074,378555,"Мы поставляем добавки для строительных растворов и красок, в том числе эфир целлюлозы, редиспергируемые эмульсионные порошки, суперпластификаторы, эфир крахмала, волокно, пеногасители и т. д. | Сырье и вспомогательные материалы для производства лакокрасочных материалов и покрытий; Сырье и вспомогательные материалы для производства адгезивов",maybe,review,mixed: product terms present but raw_material supplier evidence needs QA review,лакокрасочных материалов; покрытий; адгезив,raw_material; сырье; вспомогательные материалы; добавк; пеногасител,ok,,2026-07-14T19:28:58Z,expocentr-icatalog-v1.1.0
ИНТЕРЛАКОКРАСКА-2026,CHONGQING PAN-KEY FINE CHEMICAL CO. LTD,Китай,,Китай,2A025,ВАВИЛОВ,Сырье и вспомогательные материалы для производства адгезивов; Строительные лакокрасочные материалы (фасадные и для внутренних работ),"Pan-key — производитель эфира целлюлозы, специализирующийся на гидроксипропилметилцеллюлозе (ГПМЦ), гидроксиэтилметилцеллюлозе (ГЭМЦ), гидроксиэтилцеллюлозе (ГЭЦ) и модифицированных продуктах, используемых в качестве добавок для производства строительных материалов, покрытий и многого другого.",http://www.pan-key.com,foreign@pan-key.com,+86 2362777905,https://icatalog.expocentr.ru/ru/exhibitions/190a3ab6-1050-11f0-80ce-a0d3c1fab97f/exhibitors/378784?&stand=2A025,378784,"Pan-key — производитель эфира целлюлозы, специализирующийся на гидроксипропилметилцеллюлозе (ГПМЦ), гидроксиэтилметилцеллюлозе (ГЭМЦ), гидроксиэтилцеллюлозе (ГЭЦ) и модифицированных продуктах, используемых в качестве добавок для производства строительных материалов, покрытий и многого другого. | Сырье и вспомогательные материалы для производства адгезивов; Строительные лакокрасочные материалы (фасадные и для внутренних работ)",maybe,review,mixed: product terms present but raw_material supplier evidence needs QA review,лакокрасочные материалы; покрытий; адгезив,raw_material; сырье; вспомогательные материалы,ok,,2026-07-14T19:28:58Z,expocentr-icatalog-v1.1.0
ИНТЕРЛАКОКРАСКА-2026,COWAY INTERNATIONAL TECHTRANS CO. LTD,Китай,,Китай,4A090,ЧАЯНОВ,Сырье и вспомогательные материалы для производства лакокрасочных материалов и покрытий; Новые технологии и научные разработки,"Компания Coway специализируется на тонкой химической промышленности и предлагает клиентам высококачественное сырье, продукцию и сопутствующие технологии.",http://www.coway.com.cn,daria3588729@gmail.com,+86 10 62795180,https://icatalog.expocentr.ru/ru/exhibitions/190a3ab6-1050-11f0-80ce-a0d3c1fab97f/exhibitors/378315?&stand=4A090,378315,"Компания Coway специализируется на тонкой химической промышленности и предлагает клиентам высококачественное сырье, продукцию и сопутствующие технологии. | Сырье и вспомогательные материалы для производства лакокрасочных материалов и покрытий; Новые технологии и научные разработки",maybe,review,mixed: product terms present but raw_material supplier evidence needs QA review,лакокрасочных материалов; покрытий,raw_material; сырье; вспомогательные материалы,ok,,2026-07-14T19:28:58Z,expocentr-icatalog-v1.1.0
ИНТЕРЛАКОКРАСКА-2026,DEQING HELE NEW MATERIAL TECHNOLOGY CO. LTD,Китай,,Китай,4F100,ЧАЯНОВ,Лакокрасочные материалы промышленного назначения,"Компания HELE специализируется на разработке и производстве неорганического оксида железа, органического оксида железа и пигментов на основе технического углерода, включая оксид железа красного, желтого, черного, коричневого, зеленого, оранжевого, синего и других цветов.",http://www.demeipigment.com/about,info@helecolor.com,+86 13666526593,https://icatalog.expocentr.ru/ru/exhibitions/190a3ab6-1050-11f0-80ce-a0d3c1fab97f/exhibitors/378303?&stand=4F100,378303,"Компания HELE специализируется на разработке и производстве неорганического оксида железа, органического оксида железа и пигментов на основе технического углерода, включая оксид железа красного, желтого, черного, коричневого, зеленого, оранжевого, синего и других цветов. | Лакокрасочные материалы промышленного назначения",maybe,review,mixed: product terms present but raw_material supplier evidence needs QA review,лакокрасочные материалы,raw_material; пигмент; технического углерода,ok,,2026-07-14T19:28:58Z,expocentr-icatalog-v1.1.0
ИНТЕРЛАКОКРАСКА-2026,DIMACOLOR INDUSTRY GROUP,Китай,,Китай,2A065,ВАВИЛОВ,Сырье и вспомогательные материалы для производства лакокрасочных материалов и покрытий; Материалы для обработки поверхности,"Мы производим пигменты и добавки в Китае. Наши продукты могут быть использованы для производства чернил, краски, покрытий, пластика, текстиля. Наша основная продукция — органические пигменты, черный углерод и дисперсанты.",http://www.dimacolor.com,sales@dimacolor.com,+86 571 82825513,https://icatalog.expocentr.ru/ru/exhibitions/190a3ab6-1050-11f0-80ce-a0d3c1fab97f/exhibitors/378796?&stand=2A065,378796,"Мы производим пигменты и добавки в Китае. Наши продукты могут быть использованы для производства чернил, краски, покрытий, пластика, текстиля. Наша основная продукция — органические пигменты, черный углерод и дисперсанты. | Сырье и вспомогательные материалы для производства лакокрасочных материалов и покрытий; Материалы для обработки поверхности",maybe,review,mixed: product terms present but raw_material supplier evidence needs QA review,лакокрасочных материалов; краски; покрытий; чернил,raw_material; сырье; вспомогательные материалы; добавк; пигмент,ok,,2026-07-14T19:28:58Z,expocentr-icatalog-v1.1.0
ИНТЕРЛАКОКРАСКА-2026,DONGGUAN INFOR MACHINERY TECHNOLOGY CO. LTD,Китай,,Китай,4D145,ЧАЯНОВ,Сырье и вспомогательные материалы для производства лакокрасочных материалов и покрытий; Измельчители и смесители,"INFOR специализируется на оборудовании для измельчения наноматериалов, включая новые энергетические материалы, керамические материалы, чернила, покрытия. У нее есть дочерние компании в Южной Корее, Марокко и представительства.",http://www.infor-mill.com,yanshuyang@infor99.com,+86 15382808286,https://icatalog.expocentr.ru/ru/exhibitions/190a3ab6-1050-11f0-80ce-a0d3c1fab97f/exhibitors/378797?&stand=4D145,378797,"INFOR специализируется на оборудовании для измельчения наноматериалов, включая новые энергетические материалы, керамические материалы, чернила, покрытия. У нее есть дочерние компании в Южной Корее, Марокко и представительства. | Сырье и вспомогательные материалы для производства лакокрасочных материалов и покрытий; Измельчители и смесители",maybe,review,mixed: product terms present but equipment/service supplier evidence needs QA review,лакокрасочных материалов; покрытия; покрытий; чернил,raw_material; equipment_service; смесител; сырье; вспомогательные материалы,ok,,2026-07-14T19:28:58Z,expocentr-icatalog-v1.1.0
ИНТЕРЛАКОКРАСКА-2026,DONGYING KNT CHEMICAL CO. LIMITED,Китай,,Китай,2B150,ВАВИЛОВ,Сырье и вспомогательные материалы для производства адгезивов; Лакокрасочные материалы промышленного назначения,"Dongying KNT Chemical Co. Limited — это известное и профессионально управляемое предприятие, занимающееся производством смазочных материалов для химической и нефтехимической промышленности.",http://www.telandchem.com,alina@telandchem.com,+86 532 55689671,https://icatalog.expocentr.ru/ru/exhibitions/190a3ab6-1050-11f0-80ce-a0d3c1fab97f/exhibitors/378283?&stand=2B150,378283,"Dongying KNT Chemical Co. Limited — это известное и профессионально управляемое предприятие, занимающееся производством смазочных материалов для химической и нефтехимической промышленности. | Сырье и вспомогательные материалы для производства адгезивов; Лакокрасочные материалы промышленного назначения",maybe,review,mixed: product terms present but raw_material supplier evidence needs QA review,лакокрасочные материалы; адгезив,raw_material; сырье; вспомогательные материалы,ok,,2026-07-14T19:28:58Z,expocentr-icatalog-v1.1.0
ИНТЕРЛАКОКРАСКА-2026,DURA CO. LTD,Китай,,Китай,2F080,ВАВИЛОВ,Материалы для обработки поверхности; Диспергирующее оборудование,"Компания DURA занимается разработкой и производством высококачественных керамических шлифовальных материалов. Основная продукция включает в себя гранулы из стабилизированного иттрием диоксида циркония, гранулы из стабилизированного церием диоксида циркония и композитные гранулы из диоксида циркония.",http://www.durabeads.com,durabeads@aliyun.com,+86 762 8810227,https://icatalog.expocentr.ru/ru/exhibitions/190a3ab6-1050-11f0-80ce-a0d3c1fab97f/exhibitors/378800?&stand=2F080,378800,"Компания DURA занимается разработкой и производством высококачественных керамических шлифовальных материалов. Основная продукция включает в себя гранулы из стабилизированного иттрием диоксида циркония, гранулы из стабилизированного церием диоксида циркония и композитные гранулы из диоксида циркония. | Материалы для обработки поверхности; Диспергирующее оборудование",no,exclude,equipment_service: poor fit pure equipment/logistics/service supplier,,equipment_service; оборудование; диспергирующее,ok,,2026-07-14T19:28:58Z,expocentr-icatalog-v1.1.0
ИНТЕРЛАКОКРАСКА-2026,ELARS ELEKTRONIK MAKINA,Турция,,Турция,2B120,ВАВИЛОВ,Оборудование для нанесения лакокрасочных материалов,"Располагая собственным производством, мы производим, поставляем запасные части и обслуживаем системы электростатического порошкового покрытия марок Micron и StaTech, печи, камеры, агрегаты и оборудование.",http://www.onurcolor.com,info@elars.com.tr,+90 2122704486,https://icatalog.expocentr.ru/ru/exhibitions/190a3ab6-1050-11f0-80ce-a0d3c1fab97f/exhibitors/378424?&stand=2B120,378424,"Располагая собственным производством, мы производим, поставляем запасные части и обслуживаем системы электростатического порошкового покрытия марок Micron и StaTech, печи, камеры, агрегаты и оборудование. | Оборудование для нанесения лакокрасочных материалов",maybe,review,mixed: product terms present but equipment/service supplier evidence needs QA review,лакокрасочных материалов; покрытия,equipment_service; оборудование,ok,,2026-07-14T19:28:58Z,expocentr-icatalog-v1.1.0
ИНТЕРЛАКОКРАСКА-2026,FANGTA (SUZHOU) NEW MATERIALS TECHNOLOGY CO. LTD,Китай,,Китай,4F110,ЧАЯНОВ,Порошковые покрытия,"С 1986 года мы занимаемся производством различных порошковых покрытий, в первую очередь предоставляя услуги OEM и ODM для различных брендов.",https://fangta.en.made-in-china.com,info@ucoat-cn.com,+86 13773092904,https://icatalog.expocentr.ru/ru/exhibitions/190a3ab6-1050-11f0-80ce-a0d3c1fab97f/exhibitors/378296?&stand=4F110,378296,"С 1986 года мы занимаемся производством различных порошковых покрытий, в первую очередь предоставляя услуги OEM и ODM для различных брендов. | Порошковые покрытия",no,exclude,equipment_service: poor fit pure equipment/logistics/service supplier,порошковых покрытий; порошковые покрытия; покрытия; покрытий,equipment_service; услуги,ok,,2026-07-14T19:28:58Z,expocentr-icatalog-v1.1.0
