event_name,event_dates,company_name,company_short_name,company_name_eng,products,country,country_codes,city,address,stand,pavilion,rubrics,rubrics_eng,product_notes,brands,website,public_email,public_phone,source_url,exhibitor_id,request_id,alpha_filter,evidence_snippet,parse_status,missing_fields,scraped_at,parser_version,short_name_check,products_check,qa_notes,signo_status,repeat_reason,matched_crm_email,matched_crm_domain,matched_crm_company,candidate_emails,candidate_top_domains,source_sheet,source_removed_reason,website_email_status,website_email_source_url,website_email_notes,main email,main_email_reason
Агросалон 2026,6–9 октября 2026,АСМ-АГРО,АСМ-АГРО,ASM-AGRO,машины и оборудование для хранения зерна,Россия,RUS,,,B5.10,,Машины и оборудование для хранения зерна,Grain storage machinery and equipment,"ASM-AGRO – алтайский завод элеваторного оборудования. Производит конвейерные зерносушилки для доработки любого типа зерна, зерноочистительные установки, зерновые нории, силосы для хранения зерна.",,https://asm-agro.ru/,info@asm-agro.ru,(3852) 500-545,https://forms.agrosalon.ru/api/exhibitors/detail?catalogId=33844,33844,3164,keep,"АСМ-АГРО | Россия | Машины и оборудование для хранения зерна | ASM-AGRO – алтайский завод элеваторного оборудования. Производит конвейерные зерносушилки для доработки любого типа зерна, зерноочистительные установки, зерновые нории, силосы для хранения зерна.",parsed,,2026-09-21T05:10:21Z,agrosalon-2026-official-forms-api-signo-v1.0.0,ok,ok,Russia row with qualifying agricultural equipment/product/category evidence from official catalogue.,new,,,,,info@asm-agro.ru,asm-agro.ru,official_forms_api,,catalog_email_present,,public email visible in official catalogue detail,info@asm-agro.ru,public catalogue/contact email
Агросалон 2026,6–9 октября 2026,АССЕНСО,АССЕНСО,ASCENSO,запчасти и комплектующие для сельхозтехники; сельскохозяйственная техника и оборудование,Россия,RUS,,,E7.41,,,,"Ascenso - это высокотехнологичные шины из Индии для всех видов техники в аграрном и дорожностроительном сегментах. Опытные профессионалы, с многолетним стажем работы в проектировании и производстве, создают шины для различных режимов и условий эксплуатации с высокими показателями надежности и ресурса. На шинах Ассенсо Ваша техника будет работать в самых сложных условиях, с высокой производительностью, и без простоев.",,https://www.ascensotyres.com,info@agropromshina.ru,+74994033906,https://forms.agrosalon.ru/api/exhibitors/detail?catalogId=33825,33825,3127,keep,"АССЕНСО | Россия | Ascenso - это высокотехнологичные шины из Индии для всех видов техники в аграрном и дорожностроительном сегментах. Опытные профессионалы, с многолетним стажем работы в проектировании и производстве, создают шины для различных режимов и условий эксплуатации с в",parsed,rubrics,2026-09-21T05:10:21Z,agrosalon-2026-official-forms-api-signo-v1.0.0,ok,ok,Russia row with qualifying agricultural equipment/product/category evidence from official catalogue.,new,,,,,info@agropromshina.ru,agropromshina.ru; ascensotyres.com,official_forms_api,,catalog_email_present,,public email visible in official catalogue detail,info@agropromshina.ru,public catalogue/contact email
Агросалон 2026,6–9 октября 2026,Автодеталь-М,Автодеталь-М,Avtodetal-M,тракторы; погрузочная и транспортная техника; сельскохозяйственная техника и оборудование,Россия,RUS,,,B8.66,,Снабжение запасными частями,Spare parts supply,"Российская компания, специализирующаяся на поставках, производстве и импорте запасных частей для грузовых автомобилей, прицепов тракторов и сельскохозяйственной техники.",,https://www.avtodetal.net,info@autodetal.net,+78005054061,https://forms.agrosalon.ru/api/exhibitors/detail?catalogId=33876,33876,3251,keep,"Автодеталь-М | Россия | Снабжение запасными частями | Российская компания, специализирующаяся на поставках, производстве и импорте запасных частей для грузовых автомобилей, прицепов тракторов и сельскохозяйственной техники.",parsed,,2026-09-21T05:10:19Z,agrosalon-2026-official-forms-api-signo-v1.0.0,ok,ok,Russia row with qualifying agricultural equipment/product/category evidence from official catalogue.,new,,,,,info@autodetal.net,autodetal.net; avtodetal.net,official_forms_api,,catalog_email_present,,public email visible in official catalogue detail,info@autodetal.net,public catalogue/contact email
Агросалон 2026,6–9 октября 2026,Агро-Мастер Восток,Агро-Мастер Восток,Agro-Master Vostok,другое из группы «тракторы»,Россия,RUS,,,A8.10,,Другое из группы «Тракторы»,Others in the Tractors Group,"ООО «Агро-Мастер Восток» уже больше 15 лет занимается поставками сельскохозяйственной техники аграриям Красноярского края, Иркутской области, Республики Бурятия и Хакасия. Входит в ТОП-10 успешных российских дилеров импортной и российской сельскохозяйственной техники. «Агро-Мастер Восток» является официальным дистрибьютором сельскохозяйственных тракторов высокой мощности китайского бренда КАТ.",,https://kat-russia.ru/,sale@kat-russia.ru,8-800-201-77-41,https://forms.agrosalon.ru/api/exhibitors/detail?catalogId=33813,33813,3077,keep,"Агро-Мастер Восток | Россия | Другое из группы «Тракторы» | ООО «Агро-Мастер Восток» уже больше 15 лет занимается поставками сельскохозяйственной техники аграриям Красноярского края, Иркутской области, Республики Бурятия и Хакасия. Входит в ТОП-10 успешных российских дилеров импортной и российской сельскохозяйственной",parsed,,2026-09-21T05:10:20Z,agrosalon-2026-official-forms-api-signo-v1.0.0,ok,ok,Russia row with qualifying agricultural equipment/product/category evidence from official catalogue.,new,,,,,sale@kat-russia.ru,kat-russia.ru,official_forms_api,,catalog_email_present,,public email visible in official catalogue detail,sale@kat-russia.ru,public catalogue/contact email
Агросалон 2026,6–9 октября 2026,АгроАхтуба,АгроАхтуба,AgroAkhtuba,запчасти и комплектующие для сельхозтехники; сельскохозяйственная техника и оборудование,Россия,RUS,,,B8.55,,Снабжение запасными частями,Spare parts supply,"АгроАхтуба уже более 20 лет является поставщиком РТИ (эксклюзивный дистрибьютор SWR, BeltFlex), подшипников (владелец ТМ RandX, IRX) и гидравлики (дистрибьютор Belar) для сельскохозяйственной техники.",,https://www.agroachtuba.ru,opt@agroachtuba.ru,88002008443,https://forms.agrosalon.ru/api/exhibitors/detail?catalogId=33803,33803,3040,keep,"АгроАхтуба | Россия | Снабжение запасными частями | АгроАхтуба уже более 20 лет является поставщиком РТИ (эксклюзивный дистрибьютор SWR, BeltFlex), подшипников (владелец ТМ RandX, IRX) и гидравлики (дистрибьютор Belar) для сельскохозяйственной техники.",parsed,,2026-09-21T05:10:20Z,agrosalon-2026-official-forms-api-signo-v1.0.0,ok,ok,Russia row with qualifying agricultural equipment/product/category evidence from official catalogue.,new,,,,,opt@agroachtuba.ru,agroachtuba.ru,official_forms_api,,catalog_email_present,,public email visible in official catalogue detail,opt@agroachtuba.ru,public catalogue/contact email
Агросалон 2026,6–9 октября 2026,АгроКолёса Белогорья ООО,АгроКолёса Белогорья ООО,Agrokoles Belogorye LLC,колеса,Россия,RUS,,,F7.30,,Колеса; Покрышки,Wheels; Tires,"ООО «АгроКолёса Белогорья» - первый завод, в своем профиле, с производством на территории Российской Федерации. Проектируем и изготавливаем колеса для тракторов, комбайнов, сельскохозяйственной прицепной, индустриальной и лесозаготовительной техники импортного и российского производства.",,https://kolesa-na-traktor.ru/,info@agro-wheel.ru,8 800 234-32-44,https://forms.agrosalon.ru/api/exhibitors/detail?catalogId=33888,33888,3275,keep,"АгроКолёса Белогорья ООО | Россия | Колеса; Покрышки | ООО «АгроКолёса Белогорья» - первый завод, в своем профиле, с производством на территории Российской Федерации. Проектируем и изготавливаем колеса для тракторов, комбайнов, сельскохозяйственной прицепной, индустриальной и лесозаготовительной техники импортного",parsed,,2026-09-21T05:10:20Z,agrosalon-2026-official-forms-api-signo-v1.0.0,ok,ok,Russia row with qualifying agricultural equipment/product/category evidence from official catalogue.,new,,,,,info@agro-wheel.ru,agro-wheel.ru; kolesa-na-traktor.ru,official_forms_api,,catalog_email_present,,public email visible in official catalogue detail,info@agro-wheel.ru,public catalogue/contact email
Агросалон 2026,6–9 октября 2026,АгроПромШина,АгроПромШина,AgroPromShina,колеса,Россия,RUS,,,E7.30,,Колеса; Покрышки,Wheels; Tires,"АгроПромШина — лидер на рынке импортных сельскохозяйственных шин в РФ. Мы предлагаем качественные и надежные шины на любой кошелек. Строим сеть дилеров, гарантируя высокий доход, обучение сотрудников, узнаваемость в регионе. Наш ведущий бренд – Альянс (подразделение Йокогама). Шины этого бренда одни из самых высокотехнологичных и современных в мире – их выбирают на комплектацию ПТЗ, Ростсельмаш, Маниту, Джон Дир и другие.",,https://www.agropromshina.ru,info@agropromshina.ru,+74994033906,https://forms.agrosalon.ru/api/exhibitors/detail?catalogId=33806,33806,3048,keep,"АгроПромШина | Россия | Колеса; Покрышки | АгроПромШина — лидер на рынке импортных сельскохозяйственных шин в РФ. Мы предлагаем качественные и надежные шины на любой кошелек. Строим сеть дилеров, гарантируя высокий доход, обучение сотрудников, узнаваемость в регионе. Наш ведущий бренд – Альянс (подразд",parsed,,2026-09-21T05:10:20Z,agrosalon-2026-official-forms-api-signo-v1.0.0,ok,ok,Russia row with qualifying agricultural equipment/product/category evidence from official catalogue.,new,,,,,info@agropromshina.ru,agropromshina.ru,official_forms_api,,catalog_email_present,,public email visible in official catalogue detail,info@agropromshina.ru,public catalogue/contact email
Агросалон 2026,6–9 октября 2026,Агроцентр (FEATAGRO),Агроцентр (FEATAGRO),Agrocenter LLC,стерневые сеялки; другое из группы «машины и оборудование для посева и рядового сева»,Россия,RUS,,,C7.30,,Стерневые сеялки; Другое из группы «Машины и оборудование для посева и рядового сева»,"Stubble seeders; Other from the group ""Machines and equipment for sowing and drill seeding""","Агроцентр - одно из крупнейших предприятий сельхозмашиностроения в России, находится на территории Алтайского края. Выпускает технику под брендом FeatAgro. Основные виды продукции: посевные комплексы; культиваторы; бороны зубовые и пружинные; бороны дисковые; лущильники дисковые; агрегаты для внесения жидких удобрений, биофунгицидов, гербицидов; грабли-ворошилки ; тракторные погрузчики; катки, запасные части.",,https://featagro.ru,info@feat-agro.ru,8-800-700-21-21,https://forms.agrosalon.ru/api/exhibitors/detail?catalogId=33833,33833,3137,keep,"Агроцентр (FEATAGRO) | Россия | Стерневые сеялки; Другое из группы «Машины и оборудование для посева и рядового сева» | Агроцентр - одно из крупнейших предприятий сельхозмашиностроения в России, находится на территории Алтайского края. Выпускает технику под брендом FeatAgro. Основные виды продукции: посевные комплексы; культиваторы; бороны зубовые и пружинные; бороны дисковые;",parsed,,2026-09-21T05:10:20Z,agrosalon-2026-official-forms-api-signo-v1.0.0,ok,ok,Russia row with qualifying agricultural equipment/product/category evidence from official catalogue.,new,,,,,info@feat-agro.ru,feat-agro.ru; featagro.ru,official_forms_api,,catalog_email_present,,public email visible in official catalogue detail,info@feat-agro.ru,public catalogue/contact email
Агросалон 2026,6–9 октября 2026,Амазоне,Амазоне,Amazone,дисковые бороны; сеялки точного высева для кукурузы,Россия,RUS,,,E7.10,,Дисковые бороны; Сеялки точного высева для кукурузы,Disc harrows; Precision seed drills for maize,"Группа заводов AMAZONEN-WERKE являются специалистами по производству распределителей минеральных удобрений, сеялок, почвообрабатывающих машин и опрыскивателей для защиты растений. В основе концепции производства машин AMAZONE лежат высокоточные и экономически эффективные технологии. Группа AMAZONE имеет производственные предприятия в Германии, Франции, России (АО «АМ-Техника»), Венгрии и Бразилии.",,https://www.amazone.pro,nfo@amazone.ru,+7 (800) 222 46 01,https://forms.agrosalon.ru/api/exhibitors/detail?catalogId=33839,33839,3154,keep,"Амазоне | Россия | Дисковые бороны; Сеялки точного высева для кукурузы | Группа заводов AMAZONEN-WERKE являются специалистами по производству распределителей минеральных удобрений, сеялок, почвообрабатывающих машин и опрыскивателей для защиты растений. В основе концепции производства машин AMAZONE лежат высокоточные и экономически",parsed,,2026-09-21T05:10:21Z,agrosalon-2026-official-forms-api-signo-v1.0.0,ok,ok,Russia row with qualifying agricultural equipment/product/category evidence from official catalogue.,repeat,company-owned domain matched current Twenty repeat index,,amazone.ru,ДСК-Штамп,nfo@amazone.ru,amazone.ru; amazone.pro,official_forms_api,,catalog_email_present,,public email visible in official catalogue detail,nfo@amazone.ru,public catalogue/contact email
Агросалон 2026,6–9 октября 2026,Артибелт,Артибелт,Artibelt,"другое из раздела «машины и оборудование для комбайновой уборки»; другое из группы «комплектующие, запасные части, принадлежности»",Россия,RUS,,,C9.20,,"Другое из раздела «Машины и оборудование для комбайновой уборки»; Другое из группы «Комплектующие, запасные части, принадлежности»","Others in the Segment ""Machines and equipment for combine harvesting""; Others from the group ""Components, spare parts, accessories""","ООО ""Артибелт"" является оптовым поставщиком резинотехнических изделий (РТИ) на территории РФ и стран СНГ. Наша компания эксклюзивный дистрибьютор ремней PIX Harvester в России.",,https://www.artibelt.ru,info@artibelt.ru,+7(800) 7772857,https://forms.agrosalon.ru/api/exhibitors/detail?catalogId=33807,33807,3051,keep,"Артибелт | Россия | Другое из раздела «Машины и оборудование для комбайновой уборки»; Другое из группы «Комплектующие, запасные части, принадлежности» | ООО ""Артибелт"" является оптовым поставщиком резинотехнических изделий (РТИ) на территории РФ и стран СНГ. Наша компания эксклюзивный дистрибьютор ремней PIX Harvester в России.",parsed,,2026-09-21T05:10:21Z,agrosalon-2026-official-forms-api-signo-v1.0.0,ok,ok,Russia row with qualifying agricultural equipment/product/category evidence from official catalogue.,new,,,,,info@artibelt.ru,artibelt.ru,official_forms_api,,catalog_email_present,,public email visible in official catalogue detail,info@artibelt.ru,public catalogue/contact email
Агросалон 2026,6–9 октября 2026,Астрон Агро,Астрон Агро,Astron Agro,"другое из группы «комплектующие, запасные части, принадлежности»",Россия,RUS,,,C8.21,,"Другое из группы «Комплектующие, запасные части, принадлежности»","Others from the group ""Components, spare parts, accessories""","Производство пружинных пальцев пресс-подборщиков, граблин, ножей косилок, ножей соломоизмельчителей комбайнов с износоустойчивой наплавкой и с термообработанной кромкой, болтов, полевых досок.",,https://www.астрон-агро.рф,info@astron-agro.ru,+74852608772,https://forms.agrosalon.ru/api/exhibitors/detail?catalogId=33923,33923,3356,keep,"Астрон Агро | Россия | Другое из группы «Комплектующие, запасные части, принадлежности» | Производство пружинных пальцев пресс-подборщиков, граблин, ножей косилок, ножей соломоизмельчителей комбайнов с износоустойчивой наплавкой и с термообработанной кромкой, болтов, полевых досок.",parsed,,2026-09-21T05:10:21Z,agrosalon-2026-official-forms-api-signo-v1.0.0,ok,ok,Russia row with qualifying agricultural equipment/product/category evidence from official catalogue.,new,,,,,info@astron-agro.ru,astron-agro.ru; астрон-агро.рф,official_forms_api,,catalog_email_present,,public email visible in official catalogue detail,info@astron-agro.ru,public catalogue/contact email
